Category Size,Date,ItemSold,Ite M Category,Item Size (group) 1,Name
A-MN_1.25X96X288,4/1/2020,0,A-MN,1.25X96X288,20-Apr
A-MN_1.25X96X288,5/1/2020,0,A-MN,1.25X96X288,20-May
A-MN_1.25X96X288,6/1/2020,0,A-MN,1.25X96X288,20-Jun
A-MN_1.25X96X288,7/1/2020,0,A-MN,1.25X96X288,20-Jul
A-MN_1.25X96X288,8/1/2020,0,A-MN,1.25X96X288,20-Aug
A-MN_1.25X96X288,9/1/2020,0,A-MN,1.25X96X288,20-Sep
A-MN_1.25X96X288,10/1/2020,0,A-MN,1.25X96X288,20-Oct
A-MN_1.25X96X288,11/1/2020,0,A-MN,1.25X96X288,20-Nov
A-MN_1.25X96X288,12/1/2020,0,A-MN,1.25X96X288,20-Dec
A-MN_1.25X96X288,1/1/2021,0,A-MN,1.25X96X288,21-Jan
A-MN_1.25X96X288,2/1/2021,0,A-MN,1.25X96X288,21-Feb
A-MN_1.25X96X288,3/1/2021,0,A-MN,1.25X96X288,21-Mar
A-MN_1.25X96X288,4/1/2021,0,A-MN,1.25X96X288,21-Apr
A-MN_1.25X96X288,5/1/2021,0,A-MN,1.25X96X288,21-May
A-MN_1.25X96X288,6/1/2021,0,A-MN,1.25X96X288,21-Jun
A-MN_1.25X96X288,7/1/2021,0,A-MN,1.25X96X288,21-Jul
A-MN_1.25X96X288,8/1/2021,0,A-MN,1.25X96X288,21-Aug
A-MN_1.25X96X288,9/1/2021,0,A-MN,1.25X96X288,21-Sep
A-MN_1.25X96X288,10/1/2021,0,A-MN,1.25X96X288,21-Oct
A-MN_1.25X96X288,11/1/2021,6,A-MN,1.25X96X288,21-Nov
A-MN_1.25X96X288,12/1/2021,0,A-MN,1.25X96X288,21-Dec
A-MN_1.25X96X288,1/1/2022,1,A-MN,1.25X96X288,22-Jan
A-MN_1.25X96X288,2/1/2022,4,A-MN,1.25X96X288,22-Feb
A-MN_1.25X96X288,3/1/2022,1,A-MN,1.25X96X288,22-Mar
A-MN_1.25X96X288,4/1/2022,0,A-MN,1.25X96X288,22-Apr
A-MN_1.25X96X288,5/1/2022,0,A-MN,1.25X96X288,22-May
A-MN_1.25X96X288,6/1/2022,0,A-MN,1.25X96X288,22-Jun
A-MN_1.25X96X288,7/1/2022,5,A-MN,1.25X96X288,22-Jul
A-MN_1.25X96X288,8/1/2022,2,A-MN,1.25X96X288,22-Aug
A-MN_1.25X96X288,9/1/2022,0,A-MN,1.25X96X288,22-Sep
A-MN_1.25X96X288,10/1/2022,0,A-MN,1.25X96X288,22-Oct
A-MN_1.25X96X288,11/1/2022,5,A-MN,1.25X96X288,22-Nov
A-MN_1.25X96X288,12/1/2022,1,A-MN,1.25X96X288,22-Dec
A-MN_1.25X96X288,1/1/2023,2,A-MN,1.25X96X288,23-Jan
A-MN_1.25X96X288,2/1/2023,1,A-MN,1.25X96X288,23-Feb
A-MN_1.25X96X288,3/1/2023,2,A-MN,1.25X96X288,23-Mar
A-MN_1.25X96X288,4/1/2023,6,A-MN,1.25X96X288,23-Apr
A-MN_1.25X96X288,5/1/2023,1,A-MN,1.25X96X288,23-May
A-MN_1.25X96X288,6/1/2023,2,A-MN,1.25X96X288,23-Jun
A-MN_1.25X96X288,7/1/2023,0,A-MN,1.25X96X288,23-Jul
A-MN_1.25X96X288,8/1/2023,0,A-MN,1.25X96X288,23-Aug
A-MN_1.25X96X288,9/1/2023,5,A-MN,1.25X96X288,23-Sep
A-MN_1.25X96X288,10/1/2023,0,A-MN,1.25X96X288,23-Oct
A-MN_1.25X96X288,11/1/2023,0,A-MN,1.25X96X288,23-Nov
A-MN_1.25X96X288,12/1/2023,4,A-MN,1.25X96X288,23-Dec
A-MN_1.25X96X288,1/1/2024,0,A-MN,1.25X96X288,24-Jan
A-MN_1.25X96X288,2/1/2024,0,A-MN,1.25X96X288,24-Feb
A-MN_1.25X96X288,3/1/2024,0,A-MN,1.25X96X288,24-Mar
A-MN_1.25X96X288,4/1/2024,0,A-MN,1.25X96X288,24-Apr
A-MN_1X96X288,2/1/2019,0,A-MN,1X96X288,19-Feb
A-MN_1X96X288,3/1/2019,0,A-MN,1X96X288,19-Mar
A-MN_1X96X288,4/1/2019,0,A-MN,1X96X288,19-Apr
A-MN_1X96X288,5/1/2019,0,A-MN,1X96X288,19-May
A-MN_1X96X288,6/1/2019,0,A-MN,1X96X288,19-Jun
A-MN_1X96X288,7/1/2019,0,A-MN,1X96X288,19-Jul
A-MN_1X96X288,8/1/2019,0,A-MN,1X96X288,19-Aug
A-MN_1X96X288,9/1/2019,0,A-MN,1X96X288,19-Sep
A-MN_1X96X288,10/1/2019,0,A-MN,1X96X288,19-Oct
A-MN_1X96X288,11/1/2019,0,A-MN,1X96X288,19-Nov
A-MN_1X96X288,12/1/2019,0,A-MN,1X96X288,19-Dec
A-MN_1X96X288,1/1/2020,0,A-MN,1X96X288,20-Jan
A-MN_1X96X288,2/1/2020,0,A-MN,1X96X288,20-Feb
A-MN_1X96X288,3/1/2020,0,A-MN,1X96X288,20-Mar
A-MN_1X96X288,4/1/2020,0,A-MN,1X96X288,20-Apr
A-MN_1X96X288,5/1/2020,0,A-MN,1X96X288,20-May
A-MN_1X96X288,6/1/2020,0,A-MN,1X96X288,20-Jun
A-MN_1X96X288,7/1/2020,0,A-MN,1X96X288,20-Jul
A-MN_1X96X288,8/1/2020,0,A-MN,1X96X288,20-Aug
A-MN_1X96X288,9/1/2020,0,A-MN,1X96X288,20-Sep
A-MN_1X96X288,10/1/2020,0,A-MN,1X96X288,20-Oct
A-MN_1X96X288,11/1/2020,0,A-MN,1X96X288,20-Nov
A-MN_1X96X288,12/1/2020,0,A-MN,1X96X288,20-Dec
A-MN_1X96X288,1/1/2021,0,A-MN,1X96X288,21-Jan
A-MN_1X96X288,2/1/2021,0,A-MN,1X96X288,21-Feb
A-MN_1X96X288,3/1/2021,0,A-MN,1X96X288,21-Mar
A-MN_1X96X288,4/1/2021,0,A-MN,1X96X288,21-Apr
A-MN_1X96X288,5/1/2021,0,A-MN,1X96X288,21-May
A-MN_1X96X288,6/1/2021,0,A-MN,1X96X288,21-Jun
A-MN_1X96X288,7/1/2021,0,A-MN,1X96X288,21-Jul
A-MN_1X96X288,8/1/2021,0,A-MN,1X96X288,21-Aug
A-MN_1X96X288,9/1/2021,0,A-MN,1X96X288,21-Sep
A-MN_1X96X288,10/1/2021,1,A-MN,1X96X288,21-Oct
A-MN_1X96X288,11/1/2021,7,A-MN,1X96X288,21-Nov
A-MN_1X96X288,12/1/2021,0,A-MN,1X96X288,21-Dec
A-MN_1X96X288,1/1/2022,0,A-MN,1X96X288,22-Jan
A-MN_1X96X288,2/1/2022,12,A-MN,1X96X288,22-Feb
A-MN_1X96X288,3/1/2022,5,A-MN,1X96X288,22-Mar
A-MN_1X96X288,4/1/2022,2,A-MN,1X96X288,22-Apr
A-MN_1X96X288,5/1/2022,0,A-MN,1X96X288,22-May
A-MN_1X96X288,6/1/2022,0,A-MN,1X96X288,22-Jun
A-MN_1X96X288,7/1/2022,17,A-MN,1X96X288,22-Jul
A-MN_1X96X288,8/1/2022,9,A-MN,1X96X288,22-Aug
A-MN_1X96X288,9/1/2022,0,A-MN,1X96X288,22-Sep
A-MN_1X96X288,10/1/2022,0,A-MN,1X96X288,22-Oct
A-MN_1X96X288,11/1/2022,1,A-MN,1X96X288,22-Nov
A-MN_1X96X288,12/1/2022,2,A-MN,1X96X288,22-Dec
A-MN_1X96X288,1/1/2023,1,A-MN,1X96X288,23-Jan
A-MN_1X96X288,2/1/2023,5,A-MN,1X96X288,23-Feb
A-MN_1X96X288,3/1/2023,4,A-MN,1X96X288,23-Mar
A-MN_1X96X288,4/1/2023,2,A-MN,1X96X288,23-Apr
A-MN_1X96X288,5/1/2023,5,A-MN,1X96X288,23-May
A-MN_1X96X288,6/1/2023,4,A-MN,1X96X288,23-Jun
A-MN_1X96X288,7/1/2023,3,A-MN,1X96X288,23-Jul
A-MN_1X96X288,8/1/2023,3,A-MN,1X96X288,23-Aug
A-MN_1X96X288,9/1/2023,0,A-MN,1X96X288,23-Sep
A-MN_1X96X288,10/1/2023,0,A-MN,1X96X288,23-Oct
A-MN_1X96X288,11/1/2023,0,A-MN,1X96X288,23-Nov
A-MN_1X96X288,12/1/2023,6,A-MN,1X96X288,23-Dec
A-MN_1X96X288,1/1/2024,0,A-MN,1X96X288,24-Jan
A-MN_1X96X288,2/1/2024,0,A-MN,1X96X288,24-Feb
A-MN_1X96X288,3/1/2024,0,A-MN,1X96X288,24-Mar
A-MN_1X96X288,4/1/2024,0,A-MN,1X96X288,24-Apr
A-MN_.5X96X288,2/1/2019,0,A-MN,.5X96X288,19-Feb
A-MN_.5X96X288,3/1/2019,0,A-MN,.5X96X288,19-Mar
A-MN_.5X96X288,4/1/2019,0,A-MN,.5X96X288,19-Apr
A-MN_.5X96X288,5/1/2019,0,A-MN,.5X96X288,19-May
A-MN_.5X96X288,6/1/2019,0,A-MN,.5X96X288,19-Jun
A-MN_.5X96X288,7/1/2019,0,A-MN,.5X96X288,19-Jul
A-MN_.5X96X288,8/1/2019,0,A-MN,.5X96X288,19-Aug
A-MN_.5X96X288,9/1/2019,0,A-MN,.5X96X288,19-Sep
A-MN_.5X96X288,10/1/2019,0,A-MN,.5X96X288,19-Oct
A-MN_.5X96X288,11/1/2019,0,A-MN,.5X96X288,19-Nov
A-MN_.5X96X288,12/1/2019,0,A-MN,.5X96X288,19-Dec
A-MN_.5X96X288,1/1/2020,0,A-MN,.5X96X288,20-Jan
